Vectorization,Model,Accuracy,F1_class_0,F1_macro,AUC
TF-IDF,Logistic Regression,0.8010540184453228,0.3288888888888889,0.60605310647074,0.7593471139726646
TF-IDF,Random Forest,0.8840579710144928,0.13725490196078433,0.5375540046527085,0.6015663240332842
TF-IDF,Gradient Boosting,0.8919631093544137,0.046511627906976744,0.49462452903728726,0.6443107797733348
TF-IDF,Linear SVC,0.83399209486166,0.37,0.6372003034901366,
TF-IDF,Naive Bayes,0.8972332015810277,0.0,0.47291666666666665,0.8073063744869913
TF-IDF,KNN,0.8893280632411067,0.045454545454545456,0.4933566433566433,0.5874844685417373
TF-IDF,MLP (Neural Net),0.8840579710144928,0.2413793103448276,0.5893059176545821,0.6408185549154712
BoW,Logistic Regression,0.7878787878787878,0.3534136546184739,0.6132710511075034,0.7669151699988703
BoW,Random Forest,0.8669301712779973,0.10619469026548672,0.5171542846345227,0.6512858164840544
BoW,Gradient Boosting,0.8932806324110671,0.024096385542168676,0.4838251962554049,0.6710437139952559
BoW,Linear SVC,0.8063241106719368,0.3287671232876712,0.6078015755006485,
BoW,Naive Bayes,0.9104084321475626,0.39285714285714285,0.6722464946149157,0.8419462329153959
BoW,KNN,0.8919631093544137,0.0,0.4714484679665738,0.5324936932866449
BoW,MLP (Neural Net),0.8708827404479579,0.20967741935483872,0.5696880640533161,0.6549192364170338
Word2Vec,Logistic Regression,0.5902503293807642,0.23587223587223588,0.47797212153647795,0.612052411611883
Word2Vec,Random Forest,0.8972332015810277,0.0,0.47291666666666665,0.6814356715237772
Word2Vec,Gradient Boosting,0.8893280632411067,0.0,0.4707112970711297,0.6920253021574607
Word2Vec,Linear SVC,0.5823451910408433,0.25059101654846333,0.4805466498267431,
Word2Vec,KNN,0.8906455862977603,0.06741573033707865,0.5046665775548235,0.5773749011634475
Word2Vec,MLP (Neural Net),0.8985507246376812,0.02531645569620253,0.48590353709063083,0.6649911517752927
Doc2Vec,Logistic Regression,0.6363636363636364,0.2774869109947644,0.5172645822579456,0.7193418426898603
Doc2Vec,Random Forest,0.8972332015810277,0.0,0.47291666666666665,0.6886460333596898
Doc2Vec,Gradient Boosting,0.8972332015810277,0.07142857142857142,0.5085176329946205,0.6740652886027335
Doc2Vec,Linear SVC,0.6271409749670619,0.26109660574412535,0.5058786993478336,
Doc2Vec,KNN,0.8880105401844532,0.15841584158415842,0.5492149779550997,0.5931887495764149
Doc2Vec,MLP (Neural Net),0.8735177865612648,0.14285714285714285,0.5372891688681163,0.6657065401558793
